უჟეჟთაეს-	höchster
შთამოღებულ-ი	herabgebracht
ასომოღებულ-ი	Krüppel, Invalide (dem ein Körperglied fehlt)
წარმოღებულ-ი	hergebracht, weggenommen
წარღებულ-ი	weggenommen, geraubt
ადუღებულ-ი	gekocht
გამოდუღებულ-ი	herausgekommen
აღდუღებულ-ი	gekocht, kochend; überheblich
აღღებულ-ი	genommen, geöffnet (Mund)
დაწყებულ-ი	begonnen
წინადაწყებულ-ი	früherer
დავიწყებულ-ი	vergessen
მივიწყებულ-ი	vergessen
გულწყებულ-ი	gekränkt, betrübt
უწყებულ-ი	benachrichtigt, mitgeteilt, erzählt
მოუწყებულ-ი	benachrichtigt
დაბუშებულ-ი	geprellt, verletzt, erschlafft; geprellt, verletzt, erschlafft
შებუშებულ-ი	angeschwollen
მრუშებულ-ი	Hurer, Hure
განმამაკაცებულ-ი	zum Mann herangewachsen
ატაცებულ-ი	emporgehoben, hochgehoben; emporgehoben, hochgehoben
მიმოდატაცებულ-ი	verwüstet, entführt, verstreut
მიტაცებულ-ი	weggenommen, geraubt
მოტაცებულ-ი	weggenommen
გამოტაცებულ-ი	entführt, geraubt
მიმოტაცებულ-ი	verwüstet, verheert
წარმოტაცებულ-ი	entführt, geraubt
აღმოტაცებულ-ი	herausgerissen, herausgenommen
წარტაცებულ-ი	entführt
აღტაცებულ-ი	emporgehoben, hochgehoben
განმჴეცებულ-ი	tobend, rasend
განბიცებულ-ი	salzig
დამტკიცებულ-ი	befestigt, bestätigt
შემტკიცებულ-ი	verbunden, befestigt
განმტკიცებულ-ი	gefestigt, gestärkt
მომტკიცებულ-ი	gestärkt, befestigt
ფიცებულ-ი	beschworen
ტყორცებულ-ი	geworfen, geschleudert
იდუმალტყორცებულ-ი	heimlich / verdeckt abgeschossen
განტყორცებულ-ი	geworfen, geschleudert
მოხუცებულ-ი	alt, weise, ältester
განძებულ-ი	vertrieben, verjagt
ბოძებულ-ი	geschenkt
გამოძებულ-ი	herausgeworfen, vertrieben
ანდერძებულ-ი	per Testament vermacht
განღჳძებულ-ი	erwacht
დაწებულ-ი	geklebt; eingetunkt, naß gemacht
შეწებულ-ი	verbunden
ლიწებულ-ი	faul, verfault
შებილწებულ-ი	verunreinigt, entweiht, geschändet
შემოწებულ-ი	zusammengeklebt, eng verbunden
აღმოწებულ-ი	festgeklebt
ნიჭებულ-ი	geschenkt
განიჭებულ-ი	geschenkt, gegeben
მინიჭებულ-ი	geschenkt
მონიჭებულ-ი	verliehen, geschenkt
დახარჭებულ-ი	Geliebte, Mätresse
შეზრახებულ-ი	verhandelt, übereingekommen
შეხებულ-ი	berührt
განპოხებულ-ი	fett
ვასხებულ-ი	verliehen
სესხებულ-ი	geliehen, entliehen
აღხარისხებულ-ი	Leiterstufe, Leitersprosse
განრისხებულ-ი	erzürnt
შეწუხებულ-ი	belästigt, betrübt
ცხებულ-ი	gesegnet
ღმრთივცხებულ-ი	von Gott gesegnet / gesalbt
ზეთცხებულ-ი	ölgesalbt, ölbestrichen
განფიცხებულ-ი	erzürnt, tobend, rasend
მოცხებულ-ი	bestrichen
ოქროცხებულ-ი	goldüberzogen, vergoldet
განგონჯებულ-ი	Aussätziger
დაუნჯებულ-ი	gesammelt
დაკიბულ-ი	Stufe, Stufen-
აღკიბულ-ი	Stufe
დაჩხიბულ-ი	Zauber-
გულ-ი	Herz, Mitte, Verstand
მობაგულ-ი	obere Türeinfassung
გარეშემობაგულ-ი	überdeckt, zugedeckt
სიძაგულ-ი	Abscheu, Ekel
დიდგულ-ი	großmütig
ერთგულ-ი	treu, vertrauenswürdig
დარგულ-ი	gepflanzt
ახალდარგულ-ი	frisch gepflanzt
გარდარგულ-ი	übertragen, verbreitet
განკარგულ-ი	angeordnet, besetzt, geschmückt
დანერგულ-ი	gepflanzt
ორგულ-ი	heuchlerisch, mißtrauisch
ნაკადულ-ი	Quellbach
ოქრონაკადულ-ი	goldverströmend, mit Gold strömend; Redner
საქადულ-ი	lobenswert, rühmlich
სიქადულ-ი	Stolz, Ruhm, Drohung, Versprechen
მოქადულ-ი	drohend, prahlend
კეთილმოქადულ-ი	berühmt; Gutes versprechend
დედულ-ი	Mutter-, mütterlicherseits
მამულ-დედულ-ი	Erbe
წყმედულ-ი	verloren, untergegangen
წარწყმედულ-ი	vernichtet, zugrundegegangen, verloren
დახედულ-ი	argwöhnisch, mißtrauisch
მიმოდაზიდულ-ი	hin- und hergeneigt
შთაზიდულ-ი	hinabgezogen, hineingefallen
მართლჩაზიდულ-ი	nach unten gelassen, hinabgelassen, nach unten gebogen
მიზიდულ-ი	hingezogen, weggezerrt
განზიდულ-ი	gezogen
ჩამოზიდულ-ი	herabgezogen
წარზიდულ-ი	hochgehoben, aufgerichtet
მოკიდულ-ი	verknüpft
ღმრთისმოკიდულ-ი	Anhänger Gottes
სყიდულ-ი	gekauft
ვეცხლითსყიდულ-ი	mit Silber gekauft
მისყიდულ-ი	verkauft
განსყიდულ-ი	verkauft
მოსყიდულ-ი	gekauft, erworben
განგძიდულ-ი	gespickt, eingespießt
წყმენდულ-ი	verloren, untergegangen; verloren, untergegangen
წარწყმენდულ-ი	vernichtet, zugrundegegangen, verloren; vernichtet, zugrundegegangen, verloren
დაწინდულ-ი	verlobt
საზარდულ-ი	Nahrung
მზარდულ-ი	Erzieher, nährend
მოზარდულ-ი	heranwachsend
საფარდულ-ი	Geschäft, Laden
ღჳნისსაფარდულ-ი	Weingeschäft
მოფარდულ-ი	Markt, Verkäufer, Händler
თანამოფარდულ-ი	gemeinsam Handel treibend
ვეცხლითმოფარდულ-ი	Silberhändler
თესლისმოფარდულ-ი	Geldwechsler
ძოწეულისმოფარდულ-ი	Purpurgewandhändler
შურდულ-ი	Schleuder
ფუდულ-ი	hochmütig, dreist
დაბეჭდულ-ი	gestempelt, versiegelt
აღბეჭდულ-ი	gesiegelt, gestempelt, festgelegt
ყუერბეულ-ი	Brötchen; Brötchen
ყურბეულ-ი	Brötchen
დანგეულ-ი	kleine Silbermünze
წელიწადეულ-ი	bis zu einem Jahr, Jahres-
იმედეულ-ი	hoffnungsvoll
წყუდეულ-ი	gefangen, eingesperrt
შეწყუდეულ-ი	hineingesperrt, hineingezwängt
წდეულ-ი	eingegossen, hingereicht
წელიწდეულ-ი	bis zu einem Jahr, Jahres-; bis zu einem Jahr, Jahres-
შჳდეულ-ი	Woche
ხუავეულ-ი	Haufen
ნუკვეულ-ი	verwöhnt
რვეულ-ი	Heft
ჭირვეულ-ი	in Not, schwierig, schwer
ურვეულ-ი	notleidend, fürsorgend
ზღვეულ-ი	geschädigt, bestraft
მარხვეულ-ი	fastend
რისხვეულ-ი	angefahren, angeschrieen
ათეულ-ი	Zehntel
ოცდაათეულ-ი	dreißigfach, Dreißigstel; ein Maß
მათეულ-ი	ihr / deren Verwandter
მემთეულ-ი	Berg-, Gebirgs-
შანთეულ-ი	Schlacke, Bruchstück
წყრთეულ-ი	Elle
სამწყრთეულ-ი	drei Ellen
ორწყრთეულ-ი	zwei Ellen
ხუთეულ-ი	Fünftel
დეაკეულ-ი	Färse, weibliches Rind oder Kalb
დიაკეულ-ი	Färse, weibliches Rind oder Kalb; Färse, weibliches Rind oder Kalb
ეშმაკეულ-ი	teuflisch, besessen, mondsüchtig
ჰასაკეულ-ი	alt, groß
ხორშაკეულ-ი	von der Hitze verdorrt
დიეკეულ-ი	Färse, weibliches Rind oder Kalb
ნუკეულ-ი	verwöhnt, verzärtelt
დალეულ-ი	aufgehört, beendet
ბრალეულ-ი	Verbrecher, Schuldiger
მჭელეულ-ი	ähre, Garbe
სამჭელეულ-ი	Garbe, Bündel
მტკავლეულ-ი	Spanne
დილეულ-ი	morgendlich, Morgen-
ნაწილეულ-ი	Glied, Körperteil
განლეულ-ი	vergangen, verschlissen, abgenutzt, geplagt
გოლეულ-ი	Wabenscheibe
მოლეულ-ი	ausgegangen, zu Ende gegangen
დაზულეულ-ი	aufgelöst, zerrüttet, zerstört
მარცულეულ-ი	Beere, Korn
წულეულ-ი	Stengel, Stiel
უღლეულ-ი	Paar
ძლეულ-ი	besiegt
წლეულ-ი	heurig, diesjährig
მჭლეულ-ი	ähre, Garbe
სახლეულ-ი	Familie, Familienmitglieder
თანასახლეულ-ი	Familienmitglied, gemeinsam wohnend
ვეცხლეულ-ი	Silbergeld
სირცხჳლეულ-ი	beschämt, Schande
მამისმამეულ-ი	Nachkommenschaft
ჟამეულ-ი	Zeit-
მრავალჟამეულ-ი	langdauernd
ჩემეულ-ი	mir Nahestehender
ტომეულ-ი	Landsmann
კუმეულ-ი	beweihräuchert
აღკუმეულ-ი	verräuchert, voller Weihrauch, weihrauchdurchzogen
ძმარსუმეულ-ი	der Essig getrunken hat
ჴუმეულ-ი	verwendet, benutzt; betrachtet, angesehen
ანეულ-ი	Furche
დაშტანეულ-ი	in der Menstruation
მიმოდაბნეულ-ი	zerstreut, geistesabwesend
შთაბნეულ-ი	hinabgeworfen, hinabgestreut
განბნეულ-ი	verstreut, verjagt, verwirrt, unaufmerksam
მიმოგანბნეულ-ი	verstreut
მობნეულ-ი	verstreut
ბორგნეულ-ი	verrückt, wahnsinnig, toll
კერპთბორგნეულ-ი	heidnisch
ჩუენეულ-ი	Unsriger
