			აბულაძე
გამოიღის	VERB	ღ	გამოღება
ნაყოფი	NOUN	ნაყოფ-	
ხენეში;	ADJ	ხენეშ-	
არცა	PRT	არცა	
კუალად	ADV	კუალად	
ხე	NOUN	ხე	
ხენეში,	ADJ	ხენეშ-	
რომელმან	PRON	რომელ-	
ყვის	VERB	ყოფა	ყოფა
ნაყოფი	NOUN	ნაყოფ-	
კეთილი.	ADJ	კეთილ-	
Lk.6-44		Lk.6-44	
რამეთუ	CONJ	რამეთუ	
თითოეული	PRON	თითოეულ-	
ხჱ	NOUN	ხე	
თჳსისაგან	PRON	თჳს-	
ნაყოფისა	NOUN	ნაყოფ-	
საცნაურ	ADJ	საცნაურ	
არნ;	VERB	არ-ს	ყოფა
რამეთუ	CONJ	რამეთუ	
არა	PRT	არა	
ეკალთაგან	NOUN	ეკალ-	
შეკრიბიან	VERB	კრიბ	შეკრება
ლეღჳ,	NOUN	ლეღუ	
არცა	PRT	არცა	
მაყუალთაგან	NOUN	მაყუალ-	
მოისთულიან	VERB	სთულ	მოსთულება
ყურძენი.	NOUN	ყურძენ-	
Lk.6-45		Lk.6-45	
კეთილმან	ADJ	კეთილ-	
კაცმან	NOUN	კაც-	
კეთილისაგან	ADJ	კეთილ-	
საუნჯისა	NOUN	საუნჯე	
გულისა	NOUN	გულ-	
თჳსისა	PRON	თჳს-	
გამოიღის	VERB	ღ	გამოღება
კეთილი,	NOUN	კეთილ-	
და	CONJ	და	
ბოროტმან	ADJ	ბოროტ-	
კაცმან	NOUN	კაც-	
ბოროტისაგან	ADJ	ბოროტ-	
საუნჯისა	NOUN	საუნჯე	
გულისა	NOUN	გულ-	
თჳსისა	PRON	თჳს-	
გამოიღის	VERB	ღ	გამოღება
ბოროტი;	NOUN	ბოროტ-	
რამეთუ	CONJ	რამეთუ	
ნამეტავისაგან	ADJ	ნამეტავ-	
გულისა	NOUN	გულ-	
იტყჳნ	VERB	ტყუ	სიტყუა
პირი	NOUN	პირ-	
მისი.	PRON	მის-	
Lk.6-46		Lk.6-46	
რაჲსა	PRON	რაჲსა	
მეტყჳთ	VERB	ტყუ	სიტყუა
მე:	PRON	მე:	
უფალო,	NOUN	უფალ-	
უფალო!	NOUN	უფალ-	
და	CONJ	და	
არა	PRT	არა	
ჰყოფთ,	VERB	ყოფა	ყოფა
რომელსა	PRON	რომელ-	
მე	PRON	მე	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ?	PRON	თქუენ?	
Lk.6-47		Lk.6-47	
ყოველი	PRON	ყოველ-	
რომელი	PRON	რომელ-	
მოვალს	VERB	ვალ	მოსლვა
ჩემდა	PRON	ჩემ	
და	CONJ	და	
ისმენს	VERB	სმენ	სმენა
სიტყუათა	NOUN	სიტყუა	
ჩემთა	PRON	ჩემ-	
და	CONJ	და	
ჰყოფს	VERB	ყოფა	ყოფა
მათ,	PRON	მათ,	
გიჩუენო	VERB	ჩუენ	ჩუენება
თქუენ,	PRON	თქუენ,	
ვისა	PRON	ვიბ	
იყოს	VERB	ყოფნა	ყოფა
მსგავს.	ADJ	მსგავს.	
Lk.6-48		Lk.6-48	
მსგავს	ADJ	მსგავს	
არს	VERB	არ-ს	ყოფა
იგი	PRON	იგი	
კაცსა,	NOUN	კაც-	
რომელი	PRON	რომელ-	
აღაშენებნ	VERB	შენ	აღშენება
სახლსა,	NOUN	სახლ-	
რომელმან	PRON	რომელ-	
მოთხარა	VERB	თხარ	მოთხრა
და	CONJ	და	
დააღრმო	VERB	ღრმ	დაღრმობა
და	CONJ	და	
დადვა	VERB	დევ	დადება
საფუძველი	NOUN	საფუძველ-	
კლდესა	NOUN	კლდე	
ზედა;	ADV	ზედა;	
და	CONJ	და	
დიდროაჲ	NOUN	დიდროა	
რაჲ	PRT	რაჲ	
იყო,	VERB	ყოფნა	ყოფა
ეკუეთა	VERB	კუეთ	კუეთება
მდინარე	NOUN	მდინარე	
იგი	PRON	იგი	
სახლსა	NOUN	სახლ-	
მას	PRON	იგი	
და	CONJ	და	
ვერ	PRT	ვერ	
შეუძლო	VERB	ძელ	შეძლება
შეძრვად	NOUN	შეძრვა	
მისა,	PRON	იგი	
რამეთუ	CONJ	რამეთუ	
დაფუძნებულ	NOUN	დაფუძნებულ-	
იყო	VERB	ყოფნა	ყოფა
კლდესა	NOUN	კლდე	
ზედა.	PRT	ზედა.	
Lk.6-49		Lk.6-49	
ხოლო	CONJ	ხოლო	
რომელმან	PRON	რომელ-	
ისმინა	VERB	სმინ	სმენა
და	CONJ	და	
არა	PRT	არა	
ყოს,	VERB	ყოფა	ყოფა
მსგავს	ADJ	მსგავს	
არს	VERB	არ-ს	ყოფა
იგი	PRON	იგი	
კაცსა,	NOUN	კაც-	
რომელმან	PRON	რომელ-	
აღაშენა	VERB	შენ	აღშენება
სახლი	NOUN	სახლ-	
მიწასა	NOUN	მიწა	
ზედა	PRT	ზედა	
თჳნიერ	ADV	თჳნიერ	
საფუძველისა,	NOUN	საფუძველ-	
რომელსა	PRON	რომელ-	
ეკუეთა	VERB	კუეთ	კუეთება
მდინარე,	NOUN	მდინარე,	
და	CONJ	და	
მეყსეულად	ADV	მეყსეულად	
დაეცა;	VERB	ც	დაცემა
და	CONJ	და	
იყო	VERB	ყოფნა	ყოფა
დაცემაჲ	NOUN	დაცემა	
სახლისაჲ	NOUN	სახლ-	
მის	PRON	იგი	
დიდ.	ADJ	დიდ-	
Lk.7-1		Lk.7-1	
და	CONJ	და	
ვითარცა	CONJ	ვითარცა	
დაასრულნა	VERB	სრულ	დასრულება
იესუ	NOUN	იესუ	
სიტყუანი	NOUN	სიტყუა	
ესე	PRON	ესე	
სასმენელთა	NOUN	სასმენელ-	
მიმართ	PRT	მიმართ	
ერისათა,	NOUN	ერ-	
შევიდა	VERB	ვიდ	შესლვა
კაპერნაუმს.	NOUN	კაპერნაუმ-	
Lk.7-2		Lk.7-2	
და	CONJ	და	
ასისთავისა	NOUN	ასისთავ-	
ვისმე	PRON	ვინმე	
მონაჲ	NOUN	მონა	
სნეულ	ADJ	სნეულ	
იყო	VERB	ყოფნა	ყოფა
და	CONJ	და	
მიახდა	VERB	ხდ	მიხდომა
აღსრულებად,	NOUN	აღსრულება	
რომელი	PRON	რომელ-	
იყო	VERB	ყოფნა	ყოფა
მისა	PRON	იგი	
პატიოსან.	ADJ	პატიოსან-	
Lk.7-3		Lk.7-3	
და	CONJ	და	
ესმა	VERB	სმ	სმენა
მას	PRON	იგი	
იესუჲსთჳს	NOUN	იესუ	
და	CONJ	და	
მიავლინნა	VERB	ვლინ	მივლინება
მისა	PRON	იგი	
მოხუცებულნი	NOUN	მოხუცებულ-	
ჰურიათანი	NOUN	ჰურია	
ვედრებად	NOUN	ვედრება	
მისა,	PRON	იგი	
რაჲთა	CONJ	რაჲთა	
მოვიდეს	VERB	ვიდ	მოსლვა
და	CONJ	და	
განკურნოს	VERB	კურნ	განკურნება
მონაჲ	NOUN	მონა	
იგი	PRON	იგი	
მისი.	PRON	მის-	
Lk.7-4		Lk.7-4	
ხოლო	CONJ	ხოლო	
რომელნი-იგი	PRON	რომელ-იგი	
მივიდეს	VERB	ვიდ	მისლვა
იესუჲსა,	NOUN	იესუ	
ჰლოცვიდეს	VERB	ლოცვა	ლოცვა
მას	PRON	იგი	
მსწრაფლ	ADV	მსწრაფლ	
და	CONJ	და	
ეტყოდეს,	VERB	ტყუ	სიტყუა
ვითარმედ:	CONJ	ვითარმედ:	
ღირს,	NOUN	ღირს-	
რომელი-ესე	PRON	რომელ-ესე	
ჰყო	VERB	ყოფა	ყოფა
მისთჳს,	PRON	იგი	
Lk.7-5		Lk.7-5	
რამეთუ	CONJ	რამეთუ	
უყუარს	VERB	ყუარ	ყუარება
ნათესავი	NOUN	ნათესავ-	
ჩუენი	PRON	ჩუენ-	
და	CONJ	და	
შესაკრებელი	NOUN	შესაკრებელ-	
მან	PRON	იგი	
აღმიშენა	VERB	შენ	აღშენება
ჩუენ.	PRON	ჩუენ	
Lk.7-6		Lk.7-6	
და	CONJ	და	
იესუ	NOUN	იესუ	
წარვიდა	VERB	ვიდ	წარსლვა
მათ	PRON	მათ	
თანა.	PRT	თანა.	
ხოლო	CONJ	ხოლო	
თავადი	PRON	თავად-	
ვითარ	CONJ	ვითარ	
მიახლებულ	NOUN	მიახლებულ	
იყო	VERB	ყოფნა	ყოფა
სახლსა	NOUN	სახლ-	
მას,	PRON	იგი	
მიუვლინნა	VERB	ვლინ	მივლინება
ასისთავმან	NOUN	ასისთავ-	
მან	PRON	იგი	
მეგობარნი	NOUN	მეგობარ-	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
უფალო,	NOUN	უფალ-	
ნუ	PRT	ნუ	
მოჰშურები,	VERB	შურ	მოშურება
რამეთუ	CONJ	რამეთუ	
არა	PRT	არა	
ვარ	VERB	ყოფნა	ყოფა
ღირს,	NOUN	ღირს-	
რაჲთა	CONJ	რაჲთა	
სართულსა	NOUN	სართულ-	
სახლისა	NOUN	სახლ-	
ჩემისასა	PRON	ჩემ-	
შემოხჳდე,	VERB	უიდ	შემოსლვა
Lk.7-7		Lk.7-7	
რომლისაგან	PRON	რომელ-	
არცა	PRT	არცა	
თავით	PRON	თავ-	
ჩემით	PRON	ჩემ-	
ღირს-მიჩნდა	VERB	ღირს-ჩენა	ღირს-ჩენა
მისლვად	NOUN	მისლვა	
შენდა;	PRON	შენ	
არამედ	CONJ	არამედ	
სიტყჳთ	NOUN	სიტყუა	
ხოლო	CONJ	ხოლო	
თქუ,	VERB	თქუმა	თქუმა
და	CONJ	და	
განიკურნოს	VERB	კურნ	განკურნება
მონაჲ	NOUN	მონა	
ესე	PRON	ესე	
ჩემი.	PRON	ჩემ-	
Lk.7-8		Lk.7-8	
რამეთუ	CONJ	რამეთუ	
მეცა	PRON	მე	
კაცი	NOUN	კაც-	
ვარ	VERB	ყოფნა	ყოფა
ჴელმწიფებასა	NOUN	ჴელმწიფება	
ქუეშე	ADV	ქუეშე	
განწესებული	ADJ	განწესებულ-	
და	CONJ	და	
მქონან	VERB	ქონა	ქუან-
ჩემ	PRON	მე	
ქუეშე	ADV	ქუეშე	
ერისა	NOUN	ერ-	
კაცნი;	NOUN	კაც-	
და	CONJ	და	
ვჰრქჳ	VERB	რქუ	რქუმა
მას:	PRON	იგი	
წარვედ!	VERB	ვედ	წარსლვა
--		--	
და	CONJ	და	
წარვიდის;	VERB	ვიდ	წარსლვა
და	CONJ	და	
სხუასა:	PRON	სხუა	
მოვედ!	VERB	ვედ	მოსლვა
--		--	
და	CONJ	და	
მოვიდის;	VERB	ვიდ	მოსლვა
და	CONJ	და	
მონასა	NOUN	მონა	
ჩემსა:	PRON	ჩემ-	
ყავ	VERB	ყოფა	ყოფა
ესე!	PRON	ესე	
--		--	
და	CONJ	და	
ყვის.	VERB	ყოფა	ყოფა
Lk.7-9		Lk.7-9	
ხოლო	CONJ	ხოლო	
ვითარცა	CONJ	ვითარცა	
ესმა	VERB	სემ	სმენა
ესე	PRON	ესე	
იესუს,	NOUN	იესუ	
დაუკჳრდა	VERB	კჳრ	დაკჳრვება
სარწმუნოებაჲ	NOUN	სარწმუნოება	
მისი,	PRON	მის-	
მიექცა	VERB	ქეც	მიქცევა
ერსა	NOUN	ერ-	
მას	PRON	იგი	
და	CONJ	და	
ჰრქუა:	VERB	რქუ	რქუმა
ამენ	ADV	ამენ	
გეტყჳ	VERB	ტყუ	სიტყუა
თქუენ,	PRON	თქუენ,	
არცაღა	PRT	არცაღა	
ისრაჱლსა	NOUN	ისრაჱლ-	
შორის	ADV	შორის	
ვპოვე	VERB	პოვ	პოვნა
ესევითარი	PRON	ესევითარ-	
სარწმუნოებაჲ.	NOUN	სარწმუნოება	
Lk.7-10		Lk.7-10	
და	CONJ	და	
მიიქცეს,	VERB	ქეც	მიქცევა
რომელნი-იგი	PRON	რომელ-იგი	
მოსრულ	NOUN	მოსრულ	
იყვნეს,	VERB	ყოფნა	ყოფა
სახიდ	NOUN	სახლ-	
მისა	PRON	მის-	
და	CONJ	და	
პოვეს	VERB	პოვ	პოვნა
მონაჲ	NOUN	მონა	
იგი	PRON	იგი	
მისი	PRON	მის-	
ცოცხალი.	ADJ	ცოცხალ-	
Lk.7-11		Lk.7-11	
და	CONJ	და	
იყო	VERB	ყოფნა	ყოფა
ამისა	PRON	ესე	
შემდგომად	ADJ	შემდგომ-	
და	CONJ	და	
წარვიდოდა	VERB	ვიდ	წარსლვა
ქალაქად,	NOUN	ქალაქ-	
რომელსა	PRON	რომელ-	
ჰრქჳან	VERB	რქუ	რქუმა
ნაინ,	NOUN	ნაინ-	
და	CONJ	და	
თანაუვიდოდეს	VERB	ვიდ	თანა-სლვა
მას	PRON	იგი	
